Temperature,Tin Oxide,Titania,Tungsten Oxide,Indium Oxide
35.8,1372,1451,631,1541
33.1,1373,1440,635,1510
30.9,1290,1393,655,1511
27.5,1056,1051,826,1078
26.3,1116,1123,768,1235
25.5,1106,1122,783,1202
24.7,1018,992,839,1103
24.2,919,880,915,1013
24.8,807,681,1092,765
22.7,787,620,1176,618
22,789,623,1146,663
19.3,825,709,1050,813
19.8,912,858,923,894
20.5,1339,1425,595,1495
22.8,1355,1526,567,1658
25.6,1250,1336,632,1506
30,1105,1079,788,1168
34.4,1076,1055,817,993
35.9,1096,1087,801,910
37.2,1093,1094,797,912
37.3,1027,1066,837,814
37.4,1026,1085,848,1341
36.4,1015,1062,877,847
35.4,1028,1155,832,925
34.2,1074,1270,776,1087
31.1,1124,1289,765,1132
29.1,1111,1256,765,1197
27.2,1062,1183,794,1229
25.3,1072,1148,805,1171
24.9,936,871,990,921
23.5,988,937,894,1008
23.5,924,839,957,849
24.1,839,725,1052,668
22.6,826,666,1109,641
20.8,853,716,1047,707
18.8,918,810,936,939
19.8,890,791,950,886
21.3,865,752,996,837
21.3,1003,937,850,1005
24,1123,1088,746,1191
27.2,1146,1119,746,1200
32.3,1110,1021,820,971
31.9,1126,979,849,907
35.1,1067,962,860,802
36,1008,866,937,695
37,1062,924,892,777
36.4,1082,939,869,818
35.2,1042,897,901,681
32.5,1022,823,964,631
29.1,1024,828,936,641
26.9,1048,828,922,683
26.1,1153,1022,765,1013
25.5,1195,1077,731,1151
24.9,1245,1091,734,1134
25.2,1086,946,847,945
25.4,972,804,955,734
26.2,880,677,1109,554
24.3,906,719,1050,612
24.4,879,658,1121,564
23.3,842,597,1237,512
21.6,797,543,1466,410
21.4,796,526,1534,392
20.5,767,520,1526,377
20.8,784,562,1460,389
22.3,811,622,1315,432
21.7,838,620,1292,502
24.4,821,632,1295,469
23.4,793,579,1380,427
23.5,794,567,1426,406
22.4,821,614,1309,430
22,849,628,1274,453
21.7,852,651,1246,470
20.7,847,645,1245,480
20.3,849,682,1215,472
20.3,865,687,1191,521
20.1,848,689,1180,520
19.8,807,606,1340,440
19.6,814,627,1305,446
19.4,785,582,1377,417
19.7,748,515,1580,381
19.5,716,461,1795,350
19,708,437,1941,334
19.1,724,448,1917,346
19.1,748,477,1703,380
20.3,888,683,1196,563
21.1,973,858,941,779
21.5,993,927,886,842
22.4,929,825,992,692
24.8,962,858,941,779
23.9,906,786,1026,633
25.5,915,776,1029,616
25.4,928,787,1012,606
25.6,855,698,1134,526
24.5,920,783,1046,588
23.9,917,842,985,674
24.2,1072,1057,812,885
23.5,1000,985,846,879
22.3,914,845,972,703
21.7,888,799,1023,637
22,851,718,1134,561
22.2,870,749,1096,612
21.8,883,773,1062,621
21.6,886,767,1055,702
21.6,792,637,1249,559
20.7,754,535,1490,435
21,732,503,1525,441
20.8,770,586,1326,527
20.8,797,654,1097,720
19.9,915,877,897,937
20.9,1287,1423,610,1482
23.7,1195,1424,609,1489
25.3,1003,1009,823,1015
28.8,1037,1046,838,1004
30.3,1114,1181,747,1129
32.8,1085,1171,767,1068
33.9,1024,1087,824,924
35.3,1017,1057,859,861
34,1053,1173,785,981
35.3,1065,1198,766,1043
32.6,1136,1250,722,1124
30.8,1100,1202,732,1004
28.7,1143,1319,673,1190
26.8,1083,1157,742,1072
25.3,1009,1034,806,925
23.9,969,983,853,862
23,1029,993,816,969
22.2,1064,956,812,932
20.9,986,853,865,794
21.3,872,709,1034,599
20.8,840,654,1124,614
20.3,812,626,1134,625
21.3,810,612,1163,595
20.6,936,849,882,886
21.3,1244,1265,640,1257
22.9,1440,1556,517,1561
24.1,1180,1145,713,1191
27.1,1126,1058,765,1061
28.4,1005,910,881,751
30.1,1032,940,862,733
32.7,1087,1106,755,906
32.4,1090,1119,756,902
33.6,1072,1050,802,836
33,1101,1057,797,863
33.2,1111,1086,787,824
31.3,1048,1070,807,842
28.3,1197,1249,698,1132
26.5,1173,1217,695,1175
24.4,1075,1079,764,1111
23.3,1067,1106,745,1125
22.5,1060,1099,742,1077
21.8,1081,1099,749,1087
20.9,1017,975,822,1014
20.8,836,734,1035,801
19.3,831,727,1038,802
18.8,804,668,1102,753
20.2,798,677,1092,696
18.3,966,951,812,996
20.2,1277,1388,611,1513
21.9,1335,1496,562,1598
25.2,1297,1353,588,1690
28,1041,979,837,1053
27.1,1027,936,867,931
27.4,1037,969,841,865
29.4,1014,954,865,818
31.3,1007,971,866,802
31.5,998,958,881,778
30.9,1014,958,878,767
31.4,1157,1160,738,1000
30.7,1225,1281,683,1143
29,1131,1194,726,1009
27.3,1111,1126,754,1076
25.8,976,909,878,830
25.2,1016,929,868,853
24.6,1177,1156,684,1310
24,1013,999,791,1119
23.5,886,813,936,918
24,791,658,1140,609
22.2,762,618,1214,516
22.8,740,568,1259,510
21.9,775,628,1178,554
20.4,872,833,947,760
20.8,1123,1134,711,1170
22.8,1306,1522,535,1545
25.2,1237,1332,605,1508
29.3,1143,1146,701,1292
33.3,1170,1168,703,1287
34.9,1116,1128,739,1042
36.1,1054,1069,785,817
37.6,1083,1097,765,847
37.3,1078,1069,782,806
37.2,1104,1143,747,896
35.6,1170,1257,693,1069
33.1,1091,1201,738,945
30.5,1216,1318,673,1168
28.7,1125,1179,719,1065
26.6,971,881,916,672
25.2,1062,984,816,842
24.7,1140,1109,714,1123
24.4,1038,992,802,1007
23.3,935,836,909,855
23.8,861,729,1043,689
22.9,839,678,1062,622
21.2,850,703,1021,658
21.7,817,651,1109,628
22.8,825,667,1079,659
23.5,921,792,943,799
24.6,1031,945,806,964
27,1092,967,801,910
29.3,1095,923,843,999
31.2,1097,964,822,853
34.4,1101,972,819,752
36.1,1060,991,833,778
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
-200,-200,-200,-200,-200
18.9,732,544,1353,466
18.2,809,681,1108,609
18.6,934,911,857,863
20.8,1132,1220,691,1203
23.3,1221,1386,626,1412
25.1,1024,1111,770,1069
27.8,938,987,862,817
29.6,869,897,965,649
30.2,846,930,947,598
30.1,838,868,1005,540
29.5,875,912,978,601
31.1,907,961,920,668
30.3,889,939,920,647
30.1,969,1064,834,816
28.6,1051,1157,760,963
26.1,1043,1181,736,1010
24.5,1043,1121,736,967
23.1,1007,1027,798,904
21.8,966,959,838,852
20.9,920,875,915,744
20.5,889,831,956,760
20,825,715,1062,613
22.1,758,580,1215,531
21,735,533,1338,493
19.8,719,522,1385,509
19,757,596,1236,560
17.8,890,831,922,826
18.2,1181,1255,632,1334
20.6,1332,1556,523,1660
22.8,1128,1124,717,1362
27.1,1128,1126,725,1316
30.4,1064,1069,766,1089
31.1,1139,1240,702,1129
31.4,1121,1214,707,1120
30.8,1032,1083,776,916
31.8,1040,1022,826,812
33.5,1076,1105,762,959
33.1,1177,1310,656,1189
31.7,1196,1303,654,1199
29,1204,1381,623,1283
27.4,1166,1304,646,1291
25.2,959,949,857,949
24,1004,997,813,1018
23.8,1050,1105,729,1122
22.9,965,900,864,968
22.8,849,744,1004,806
21.8,809,666,1093,714
21.7,777,609,1170,644
20.8,768,591,1183,606
21.7,768,597,1155,606
20.3,917,842,934,819
20.5,1252,1380,579,1462
21.7,1224,1268,605,1478
24,1277,1300,608,1598
28.5,1149,1192,672,1449
32.2,1091,1082,746,1221
34.9,1053,1087,763,1023
35.4,1023,1042,796,910
34.4,1085,1075,767,913
34.8,1116,1120,724,1035
34.3,1111,1131,735,1085
32.5,1210,1316,645,1278
31.3,1250,1339,616,1383
30.2,1297,1408,595,1473
28.5,1313,1345,603,1507
27.3,1146,1084,713,1215
26.1,1199,1152,685,1242
24.7,1274,1197,626,1356
23.6,1243,1072,675,1195
23.3,1054,923,783,899
23.3,962,778,929,726
22.9,915,690,983,743
23.7,871,639,1062,684
21.2,877,658,1047,779
22.1,893,696,1008,801
21.9,1030,851,824,983
24.7,1059,926,783,989
27,1020,860,864,875
29.1,1045,840,879,807
31.1,1029,866,874,727
31.9,959,763,976,549
32.8,975,798,939,570
33.4,988,813,927,596
35.3,971,818,942,585
35.8,999,899,869,637
35.3,989,889,889,664
33.3,1075,1020,802,797
30.3,1190,1177,695,1046
28.3,1172,1108,706,1058
27.1,1256,1340,594,1214
25.4,1190,1203,658,1056
24.6,1249,1310,601,1280
23.7,1072,1120,711,1045
23,1035,1011,750,1039
24.8,839,690,1030,640
23.1,833,671,1061,705
21.7,804,616,1144,662
21.9,811,651,1097,579
20.1,1028,934,818,987
21.5,1138,1141,671,1197
22.9,1203,1185,649,1328
25.7,1193,1136,667,1370
29.9,1049,898,858,921
32.9,1090,942,828,876
34,1070,976,808,819
34.7,1014,970,826,763
35.5,972,912,882,675
35.9,951,880,920,637
36.2,1033,1038,802,826
35.4,983,1094,817,854
32.9,973,1128,813,894
29.9,1083,1237,737,1077
28.1,1062,1176,763,1121
26.1,1011,1122,808,1071
25,1054,1110,765,1167
24.3,1013,1038,793,1162
24,870,823,975,848
22.4,857,769,1006,759
21.2,835,739,1036,694
19.5,844,759,1005,848
21.2,763,622,1129,689
19.5,769,606,1171,610
18.6,891,790,960,816
19.7,1037,993,779,1158
21.9,1090,1065,728,1228
24.5,1117,1118,716,1323
30,1109,1074,761,1274
34.5,961,939,912,846
36.3,985,919,918,737
37.7,960,909,910,675
38.3,927,806,1013,559
38.4,958,795,1002,604
37.2,1019,842,935,729
34,1010,816,955,741
32.3,1030,844,917,747
30.5,1100,946,827,932
29.2,1079,909,861,928
28.4,1036,859,900,860
27.7,1085,959,827,963
27.2,1214,1151,683,1309
26.5,1127,1041,728,1266
25.5,1038,950,776,1181
25.2,948,829,873,937
23.2,953,844,848,995
23.2,869,723,975,789
24,809,628,1127,682
23.5,833,641,1088,717
23.5,857,661,1083,696
24.7,966,820,913,807
27.2,1063,894,823,1025
31,1110,996,782,1090
35.2,1055,941,844,932
37.8,939,828,991,639
39,816,684,1195,467
41.3,841,712,1175,476
41.8,842,722,1163,490
42.2,990,852,967,669
41.4,1042,894,916,800
38.9,1089,893,879,791
34.3,1102,990,799,849
32.7,1095,996,799,934
30.5,1116,1075,761,1081
29,1105,1046,777,1102
28.2,1018,950,830,914
27.2,991,896,857,926
26.7,923,765,952,786
26,874,679,1049,619
22.8,846,662,1068,633
24,838,632,1079,634
24,827,656,1075,722
23.7,901,763,984,717
23.6,1291,1316,603,1445
25.5,1441,1606,503,1786
28.5,1363,1410,565,1791
32.6,1218,1198,671,1413
36.3,1132,1091,751,1092
37.5,1103,1060,770,940
39.6,1081,1053,770,883
40.1,1079,1018,793,850
40.4,1167,1087,741,928
39.9,1148,1037,772,835
39.1,1221,1230,670,1157
37,1255,1283,640,1232
33.9,1245,1287,635,1288
31.9,1162,1151,687,1143
29.7,1079,1020,754,1014
28.6,1091,1038,744,1088
27.8,1085,1039,745,1092
27.8,1050,966,780,1090
27.5,941,814,873,979
27.3,891,705,980,806
26,842,624,1080,712
24.8,850,639,1048,853
25.9,863,652,1055,816
25.3,956,784,928,934
24.7,1384,1391,552,1548
27.1,1502,1631,459,1858
28.3,1219,1163,642,1410
32.4,1237,1157,663,1334
35.4,1181,1078,706,1140
35.5,1251,1154,682,1111
37.8,1214,1170,681,1054
37.2,1166,1062,726,924
37.2,1226,1157,683,1041
38,1265,1229,636,1282
37.1,1317,1338,593,1362
36.9,1372,1382,568,1441
34.7,1443,1443,543,1559
31.9,1200,1126,664,1198
30.5,1216,1130,655,1246
29.3,1160,1070,687,1192
28.2,1194,1106,667,1194
27.3,1199,1087,658,1252
26.8,965,818,844,777
26,961,801,850,798
26.8,901,697,952,800
26.9,864,629,1052,728
24.6,952,742,892,953
26.4,1009,875,797,1060
27.3,1225,1155,643,1338
28.4,1245,1202,628,1622
30.8,1265,1209,638,1812
34.2,1276,1241,642,1784
37,1232,1183,675,1509
36.6,1193,1097,698,1139
36.9,1162,1117,700,1044
39.3,1126,1097,723,1015
38.5,1089,993,801,825
39.7,1134,1073,747,1022
38.8,1388,1418,568,1913
33.5,1506,1499,506,2043
34,1352,1385,563,1661
31.9,1217,1227,641,1404
30.2,1149,1132,688,1233
28.9,1156,1129,688,1181
27.8,1180,1122,678,1272
27.1,1109,1080,696,1190
26.2,1032,974,763,982
26.9,893,767,918,805
26.3,848,642,1079,654
24.9,850,664,1038,727
23.4,938,782,879,1001
24.4,948,828,858,994
25.1,1225,1214,625,1322
26.6,1380,1359,538,1617
28.2,1276,1138,628,1430
31.6,1246,1093,667,1357
34.2,1141,996,767,994
36.6,1199,1124,680,1054
37.6,1156,1056,710,945
38.1,1158,983,751,808
37.8,1163,1039,723,888
37.8,1078,1009,767,787
36.9,1244,1219,651,1077
34.5,1236,1239,637,1106
32.5,1364,1376,580,1356
30.9,1193,1196,675,1152
28.7,1078,985,778,925
27.7,1140,1035,726,1059
26.8,1239,1127,648,1201
26.1,1171,1093,669,1205
25.9,1065,977,736,1103
25.3,1024,882,791,1072
26.6,873,679,1010,713
25.3,874,668,1043,737
25.1,887,647,1046,740
24.8,993,795,888,770
25.7,1299,1225,620,1327
27.4,1529,1526,476,1763
29.3,1320,1210,595,1477
33.6,1226,1168,650,1311
34.6,1105,980,777,980
35.6,1160,1040,720,961
36.9,1125,1051,730,923
38.8,1099,1015,763,839
38.1,1124,1021,745,827
37.1,1105,995,778,821
34.8,1035,1043,804,749
33.6,1065,1110,757,871
31.4,1051,1220,739,1077
29.5,1073,1124,752,1175
27.4,1008,1004,817,1125
26.1,1090,1073,745,1124
25.5,1048,983,780,1064
24,1131,1087,705,1240
24.2,953,874,854,899
23.4,897,745,968,807
21.8,900,750,932,817
22.6,828,639,1077,573
20.2,892,739,964,768
20.5,914,809,912,807
21.4,1096,1017,722,1204
23.2,1173,1130,648,1401
25.3,1125,1016,712,1256
29.9,1079,976,781,999
33.9,974,930,872,712
36.3,977,973,865,712
36.6,912,873,946,614
37.4,896,817,992,554
37.9,896,822,1002,722
38,956,862,930,636
36.9,970,900,909,664
35.3,929,869,942,624
31.9,947,926,905,659
29.1,1003,880,864,695
27.4,1045,940,822,920
26.7,1125,1035,728,1150
25.2,1138,985,742,1141
24,1217,1060,660,1227
24.5,983,831,847,887
22.6,1007,864,816,987
22.2,957,816,846,903
21.2,914,725,949,780
20.3,886,702,971,767
21.3,899,708,972,780
23,942,723,968,698
23.7,1022,817,835,821
25.4,1009,810,859,772
29.6,1025,809,877,690
33.9,977,783,939,586
35.8,936,757,1007,523
37.9,884,703,1076,488
38.5,809,664,1185,427
39.3,852,718,1109,468
38.9,872,708,1106,489
37.9,839,752,1102,515
35.8,854,788,1064,562
32.3,971,942,900,776
30.1,985,944,866,833
28.2,1027,981,817,1023
26,1012,876,853,967
25.3,1086,973,766,1089
24.7,1025,939,790,1103
25.5,848,692,1034,734
22.5,839,652,1075,671
21.6,814,618,1097,696
19.7,816,624,1073,729
21.6,799,613,1120,641
21.1,879,792,906,825
21.6,1104,1125,697,1179
23.7,1344,1496,519,1651
26,1226,1272,632,1474
30.6,1157,1176,691,1370
34.1,1059,1060,798,1141
36.2,1076,1057,778,1076
37.4,1066,1041,783,1036
39.5,1049,994,813,881
40.4,1097,1074,776,960
40.1,1087,1018,791,883
39.3,1269,1269,633,1221
37.3,1328,1405,584,1518
33.6,1200,1270,654,1264
30.7,1098,1105,732,1061
28.8,1058,1004,776,947
27.3,1081,1025,738,1059
26.2,1062,962,776,1030
25.4,1078,971,752,1065
25.8,917,761,931,893
23.3,881,718,965,837
23.5,865,671,1012,807
23.5,829,602,1123,596
21.8,913,743,931,884
21.8,1077,985,742,1170
22.9,1337,1386,565,1596
24.9,1467,1575,472,1873
26.7,1257,1227,611,1608
30.5,1227,1125,675,1470
34.2,1188,1108,693,1275
38.2,1301,1276,631,1407
39.6,1201,1278,657,1302
39.9,1058,1026,794,931
40.2,1037,1075,789,917
39.6,1055,1157,762,985
39.5,1179,1364,661,1265
37.9,1298,1430,632,2475
34.2,1213,1327,654,2021
32.6,1233,1398,613,1834
30.4,1086,1145,737,1426
28.8,1056,1078,765,1272
27.8,1138,1128,681,1490
26.9,1112,1128,675,1440
26.3,992,948,773,1271
25.7,895,767,931,985
24.8,843,655,1046,826
25.5,828,626,1073,754
24,894,709,997,853
23.9,1072,976,740,1340
24.8,1425,1486,512,1869
26.9,1428,1500,496,2021
29.6,1359,1415,572,1902
34.6,1182,1122,730,1527
38.3,1117,1045,761,1260
40.4,1119,1088,741,1124
42.6,1068,1152,739,1309
42.5,1090,1120,743,1283
41,1056,1024,792,1068
41.3,1098,1007,799,937
39.2,1318,1339,635,1416
36.9,1348,1347,599,1611
35.6,1502,1546,538,1919
33.7,1373,1364,597,1745
31.5,1397,1346,580,1837
31.1,1286,1214,620,1759
30.2,1222,1161,661,1593
29.8,1069,983,749,1357
28.4,1011,864,809,1231
27.5,962,803,853,1066
26.8,919,723,910,992
24.5,969,769,866,1063
25.6,986,784,839,1204
27.5,990,821,848,1079
25.9,1296,1208,603,1593
28.5,1371,1384,545,1745
29.5,1385,1240,596,1847
29.8,1381,1227,595,1845
33.4,1396,1306,587,1886
40.3,1070,1000,801,1039
41.8,1076,972,819,923
41.1,1126,1004,788,926
41.9,1225,1196,673,1277
40.9,1202,1206,671,1301
39.1,1308,1310,628,1385
36.4,1440,1281,580,1474
34.9,1611,1552,487,1948
33.6,1387,1419,559,1677
32.2,1268,1206,648,1434
30.5,1237,1175,660,1424
29.4,1302,1198,628,1504
29.1,1347,1282,575,1661
27.7,1355,1198,564,1714
27.9,1023,822,823,1050
27.8,903,631,1070,550
27.4,876,605,1144,456
26.6,932,707,1011,554
26.9,1020,866,847,744
27,1264,1241,609,1280
27,1179,1153,654,1096
27.4,1079,966,785,927
30.5,1036,955,829,840
32.9,1002,964,828,786
33.9,995,959,856,690
34.4,1008,962,845,742
34.2,978,962,846,680
33.2,989,990,822,705
32.4,961,985,845,677
32.2,1009,1116,779,877
31,970,1117,786,844
28.3,1097,1199,699,1006
26.6,1065,1105,723,987
24.8,1036,986,776,868
23.7,1049,958,794,861
23,1147,1043,727,1042
22.7,1118,1082,694,1080
22.2,1016,963,776,811
21.6,940,845,845,704
22.3,836,643,1114,522
22.4,831,626,1126,484
21.7,877,711,1018,580
21.1,872,725,976,668
22,958,805,886,835
25,959,848,859,739
26.7,997,933,799,763
29.1,916,843,891,614
31.2,895,831,946,566
32.4,855,812,982,508
33.3,861,811,997,509
33.1,821,766,1071,457
33.1,835,731,1108,438
32.4,813,732,1118,427
31.8,833,786,1064,453
30.3,859,803,1032,479
27.2,887,778,978,500
26.1,970,900,856,647
24.7,990,866,866,728
23.4,1022,899,846,820
23.1,1075,993,781,946
22.7,1088,1035,751,1018
21.6,925,831,880,789
22,853,716,994,647
20.4,918,830,875,785
20.6,796,636,1092,576
20.6,796,628,1136,555
21.3,795,606,1152,552
20.4,842,656,1080,620
23.5,850,659,1077,557
25.7,884,709,1027,556
27.9,907,741,983,573
29,846,703,1034,514
29.5,827,697,1070,478
31.8,804,636,1185,424
32.2,775,619,1254,386
32.4,802,651,1206,403
33,844,751,1064,462
32,881,765,1029,489
29.6,877,736,1077,463
26.9,931,885,892,585
25.3,1011,967,818,748
24.2,1035,1015,757,940
23.2,1153,1042,733,1022
22.7,1020,929,805,929
21.6,954,879,837,834
20.7,903,800,911,751
21.2,779,581,1204,505
22.7,761,540,1269,486
19.9,780,568,1200,501
20,835,672,1053,628
18.5,1004,955,758,1043
19.6,1272,1328,567,1463
21.3,1173,1217,625,1358
21.7,986,922,820,971
23.4,942,849,907,894
25.7,957,875,891,871
28.5,1024,1052,779,952
27,962,963,835,843
24.2,958,873,868,750
26,933,831,888,710
24.8,942,912,842,814
24,1073,1117,693,1052
23.6,1086,1159,686,1060
23.6,1091,1161,682,1153
23.3,980,1009,786,986
22.5,904,877,890,781
21.3,865,773,991,653
20.9,898,863,911,777
19.8,945,883,837,1015
19.3,854,764,932,922
18.4,751,587,1165,678
18.8,723,544,1274,584
16.3,754,620,1102,725
16.6,758,670,1070,688
16.2,873,871,871,887
17.3,1176,1398,567,1494
19.2,1257,1495,524,1647
21.7,1137,1200,648,1489
26.4,1064,1126,711,1361
31.3,1026,1094,769,1224
33.7,986,1133,773,1174
34.5,908,1031,857,901
33.8,888,1007,870,794
30.1,843,830,995,577
28.3,905,931,876,776
31.9,1023,1127,760,982
32,1125,1279,662,1256
28.9,1211,1483,586,1483
27.3,1140,1289,634,1390
26,1029,1105,737,1195
25.2,981,1054,768,1135
24.3,971,1014,788,1115
23.6,927,930,840,1026
23,868,846,925,836
22.2,863,824,905,925
20.4,820,716,994,933
20.5,777,645,1076,781
18.8,855,762,942,959
18.8,960,973,769,1155
19.9,1310,1492,527,1686
22.1,1339,1561,498,1791
24,1211,1290,606,1643
30.2,1068,1171,711,1360
33.4,932,1026,851,944
35.1,949,1069,819,905
34.1,944,1045,829,884
35.7,966,1131,800,968
35.3,940,1063,848,929
32.3,934,1041,865,936
36,1052,1252,739,1107
35.8,1109,1374,676,1225
32.3,1169,1430,636,1372
29.7,1093,1163,717,1139
27.8,1084,1200,686,1505
26.3,970,1023,787,1074
25.3,951,939,849,868
24,1038,1053,744,1095
23.4,950,937,802,989
23.5,831,695,1033,658
22,813,656,1070,603
21.6,797,621,1105,562
21.4,824,660,1033,618
21.1,879,796,912,747
21.3,1132,1166,652,1229
22.9,1291,1434,526,1494
24.4,1193,1160,630,1281
27.6,1057,914,796,954
31.1,1027,899,822,810
33.4,1084,1052,736,882
35.7,1032,1071,742,840
36.2,977,998,810,743
37.1,1039,1069,773,880
36.5,1056,1127,734,928
35.5,1164,1306,648,1218
33.7,1124,1309,655,1170
30.5,1152,1355,628,1620
28.7,1223,1399,592,1508
26.7,1058,1139,696,1318
25.7,1049,1152,693,1189
24.5,1010,1006,779,1000
24.3,981,985,779,1020
23.8,886,834,904,767
23.7,821,706,1021,674
22.2,784,641,1114,588
21.6,771,593,1155,545
20.3,819,677,1048,685
20.7,836,747,961,702
20.5,1114,1174,667,1188
22.4,1319,1470,520,1589
24.2,1211,1143,632,1331
28.8,1051,950,802,1040
32.8,1108,1049,749,1137
34.4,1014,1012,795,851
36.5,1003,1047,769,782
37.5,1021,1092,764,908
38,986,937,833,806
38.1,1098,1084,754,985
37.3,1157,1245,665,1211
35.9,1190,1395,606,1411
32.4,1183,1341,628,1395
30.3,1231,1341,626,1578
28.5,1102,1195,690,1325
26.9,1041,1060,748,1185
25.7,1090,1103,695,1235
24.7,1074,1078,685,1317
23.6,977,956,765,1114
22.2,949,910,816,1015
21.2,912,842,863,1015
21.3,863,746,919,961
21.6,834,689,988,796
21.3,865,764,917,826
21.1,974,908,793,1057
22.8,1079,1004,713,1302
25,1084,990,734,1284
30.9,1107,1080,714,1348
35.1,1040,1015,775,1025
36.9,1019,913,840,759
39.3,1003,907,862,680
40.3,925,772,1001,516
39.7,910,743,1039,500
41.1,1012,868,884,700
40.1,1100,954,809,1360
37.4,1046,901,849,722
34,1083,1003,787,842
31.7,1050,962,810,879
29.7,1050,927,830,836
27.9,1142,1035,746,1062
26.8,1165,1043,717,1188
25.8,1136,995,727,1236
26.3,986,790,869,853
24.3,971,790,871,875
24.7,908,701,971,704
23.3,882,648,1023,666
21.1,900,674,974,679
20.2,935,716,915,877
21.3,939,718,927,826
22.6,982,750,893,881
25.7,1088,862,786,1110
31.6,1065,872,831,927
36.3,1016,868,889,665
37.9,930,723,1035,474
39.4,928,716,1060,459
40.2,889,698,1132,437
41.3,966,802,968,607
41.4,973,792,977,620
40.1,950,754,1003,551
37.6,982,780,974,532
33.9,990,814,929,578
31.6,1017,873,874,721
29.7,1067,938,825,912
29,1147,1040,745,1155
27.9,1132,1014,728,1279
28,976,814,855,1018
26.8,920,730,944,842
26.6,879,642,1031,740
23.7,854,604,1090,625
22.2,880,649,1022,739
21.2,925,717,936,970
21.4,1044,912,758,1177
22.9,1279,1197,599,1518
25.2,1403,1443,508,1811
27.1,1282,1230,594,1696
32.4,1262,1187,633,1603
36.8,1195,1153,678,1370
39.1,1173,1127,709,1194
39.2,1102,1007,777,880
40.5,1076,982,799,748
41.4,1078,1012,777,868
40.5,1100,1014,761,959
39.6,1234,1205,658,1160
37.7,1323,1316,586,1453
34.3,1263,1283,610,1400
31.7,1216,1136,658,1265
30.2,1247,1127,664,1366
29.4,1264,1177,628,1593
29.2,1111,988,728,1336
27.6,1068,931,762,1317
27.2,1015,850,802,1173
25.4,989,827,827,1163
25.2,930,708,924,1012
23.4,952,717,879,1164
25.1,981,747,856,1090
23.9,1138,974,683,1338
24.8,1472,1424,499,1808
27,1626,1713,412,2176
29.4,1480,1460,494,2028
34.8,1367,1342,567,1758
38.1,1245,1181,645,1350
38.9,1194,1083,685,1060
39.8,1156,1096,713,954
41.7,1107,1106,727,1024
42.8,1127,1117,714,1092
41.4,1083,994,771,927
41.3,1289,1225,632,1274
38.3,1209,1082,685,978
34.7,1221,1145,648,1050
32.6,1255,1164,638,1301
30.9,1163,1022,695,1141
30.1,1234,1126,644,1252
29,1240,1124,645,1300
28.3,1128,978,733,1193
27.6,1057,881,784,1081
25.8,1026,801,816,1094
27.4,925,656,967,917
26.3,917,635,1006,727
23.3,1011,782,828,1116
23.1,1079,869,751,1223
24.2,1322,1250,562,1556
25.8,1526,1495,471,1904
28.1,1338,1207,576,1697
33.9,1421,1354,545,1854
38,1197,1209,656,1306
38.9,1116,1063,736,980
40.4,1115,1031,741,870
40.1,1018,880,865,613
42,1109,989,778,819
42.7,1105,984,767,868
41.6,1128,1032,733,876
39.6,1301,1210,623,1153
36.1,1416,1339,544,1492
33.3,1301,1256,593,1382
31.2,1261,1158,628,1303
30.1,1295,1211,602,1404
28.9,1239,1129,637,1308
27.8,1229,1103,627,1320
26.9,1125,963,713,1179
26.4,1044,832,794,1160
25.2,976,754,842,1070
23.8,1015,781,796,1181
24.9,954,715,867,1010
25,1032,826,781,1075
24.7,1518,1476,469,1839
26.4,1602,1678,410,2105
28.1,1362,1225,551,1826
34,1394,1294,555,1834
37.3,1205,1070,682,1268
40.1,1210,1118,658,1422
42,1138,1055,712,1028
42.8,1079,1019,749,929
44.3,1158,1126,693,1150
44.6,1186,1151,680,1235
43.4,1261,1258,629,1315
40.6,1339,1352,569,1469
37.1,1342,1377,567,1515
34.5,1317,1327,575,1510
32.2,1210,1148,639,1327
30.4,1220,1105,643,1318
29.4,1276,1135,625,1436
28.6,1270,1189,592,1608
27.7,1053,933,743,1257
28,956,813,846,1094
24.8,954,790,826,1066
25.6,912,706,891,1022
23.6,973,802,806,1139
25.1,1037,906,743,1158
24.5,1306,1299,519,1602
26.6,1367,1441,470,1770
29,1335,1340,519,1651
34.2,1250,1166,626,1435
37.3,1142,1021,712,1159
40.1,1168,1160,671,1193
